uid,title,description,long_description,keywords,date_display,first_date,last_date,location_name,location_city,location_address,latitude,longitude,url,text_for_embedding
64339204,Contes Shipibos - Train Théâtre / Hors les Murs - Claveyson (26),Contes Shipibos - Dessin en sable et musique en direct tout public à partir de 5 an - Mythes et légendes de l'Amazonie péruvienne.,"Le Pérou abrite cinquante-cinq communautés indigènes, dont les Shipibo-Konibo. Installé au cœur de la forêt amazonienne le long de la rivière Ucayali, à l’origine du fleuve Amazone, ce peuple est renommé pour sa connaissance des propriétés et de l’utilisation des plantes. Leur culture, riche et vibrante, s’exprime à travers l’art, l’artisanat, les légendes et la science des chamans. Les mythes et légendes des Shipibo- Konibo témoignent de la profondeur de leur système de pensée, contribuant ainsi à dévoiler les idées et les rêves qui animent cette communauté. Notre univers poétique, graphique et musical, sera mis au service de ces contes et légendes, où l’humain et la nature s’entrelacent de manière intime. En puisant notre récit dans trois des contes issus des ouvrages “Mythes De L’Amazonie – Une Traversée De L’imaginaire Shipibo” de Pierrette Bertrand-Ricoveri et “L’univers Enchanté Des Indiens Shipibos – Une Version Littéraire Des Mythes Et Légendes De La Tradition Orale Shipibo-Conibo” de Luis Urteaga Cabrera, notre objectif est de transmettre aux enfants un espace d’exploration de l’imaginaire. Cet espace, centré sur la nature, transcende la séparation habituelle entre l’humain et la nature, promouvant l’idée d’harmonie et d’espaces entrelacés, coexistants et devant se préserver mutuellement. Nous souhaitons permettre au spectateur de se laisser emporter par son propre imaginaire et de s’abandonner à ses propres interprétations.",,4 et 5 février 2027,2027-02-04T09:30:00+00:00,2027-02-05T09:30:00+00:00,Salle des fêtes,Claveyson,Le Village - 26240 Claveyson,45.180752,4.930441,https://openagenda.com/cie-caminos/events/contes-shipibos-train-theatre-en-decentralisation-claveyson-26,"Titre : Contes Shipibos - Train Théâtre / Hors les Murs - Claveyson (26)
Date : 4 et 5 février 2027
Lieu : Salle des fêtes, Le Village - 26240 Claveyson
Description : Le Pérou abrite cinquante-cinq communautés indigènes, dont les Shipibo-Konibo. Installé au cœur de la forêt amazonienne le long de la rivière Ucayali, à l’origine du fleuve Amazone, ce peuple est renommé pour sa connaissance des propriétés et de l’utilisation des plantes. Leur culture, riche et vibrante, s’exprime à travers l’art, l’artisanat, les légendes et la science des chamans. Les mythes et légendes des Shipibo- Konibo témoignent de la profondeur de leur système de pensée, contribuant ainsi à dévoiler les idées et les rêves qui animent cette communauté. Notre univers poétique, graphique et musical, sera mis au service de ces contes et légendes, où l’humain et la nature s’entrelacent de manière intime. En puisant notre récit dans trois des contes issus des ouvrages “Mythes De L’Amazonie – Une Traversée De L’imaginaire Shipibo” de Pierrette Bertrand-Ricoveri et “L’univers Enchanté Des Indiens Shipibos – Une Version Littéraire Des Mythes Et Légendes De La Tradition Orale Shipibo-Conibo” de Luis Urteaga Cabrera, notre objectif est de transmettre aux enfants un espace d’exploration de l’imaginaire. Cet espace, centré sur la nature, transcende la séparation habituelle entre l’humain et la nature, promouvant l’idée d’harmonie et d’espaces entrelacés, coexistants et devant se préserver mutuellement. Nous souhaitons permettre au spectateur de se laisser emporter par son propre imaginaire et de s’abandonner à ses propres interprétations."
5035822,"Détection de potentiel ""Services à la personne""","Détection de potentiel ""Services à la personne""","Détection de potentiel ""Services à la personne""",Découverte secteur / métier,"Mardi 1 décembre, 09h00",2026-12-01T08:00:00+00:00,2026-12-01T08:00:00+00:00,Montélimar - Agence MONTELIMAR,Montélimar,26200 Montélimar,44.567867,4.753857,https://openagenda.com/francetravail/events/detection-de-potentiel-services-a-la-personne-4827167,"Titre : Détection de potentiel ""Services à la personne""
Date : Mardi 1 décembre, 09h00
Lieu : Montélimar - Agence MONTELIMAR, 26200 Montélimar
Description : Détection de potentiel ""Services à la personne""
Mots-clés : Découverte secteur / métier"
26968561,Handicap et recherche d'emploi: les conseils essentiels pour réussir !,Vous êtes bénéficiaire de l'obligation d'emploi et souhaitez maximiser vos chances de décrocher un poste ?,Vous êtes bénéficiaire de l'obligation d'emploi et souhaitez maximiser vos chances de décrocher un poste ? Notre atelier est conçu spécialement pour vous aider à aborder votre situation de handicap de manière positive et constructive dans le cadre de votre recherche d'emploi ! Objectifs de l'atelier : Maîtriser les techniques de présentation : Apprendre à communiquer sur votre handicap de manière efficace et valoriser vos compétences uniques. Prendre confiance en soi : Développer l'assurance néc,"Se préparer, Marché du travail","Lundi 9 novembre, 10h00",2026-11-09T09:00:00+00:00,2026-11-09T09:00:00+00:00,Montélimar - Agence MONTELIMAR,Montélimar,26200 Montélimar,44.562096,4.75294,https://openagenda.com/francetravail/events/handicap-et-recherche-demploi-les-conseils-essentiels-pour-reussir-5692824,"Titre : Handicap et recherche d'emploi: les conseils essentiels pour réussir !
Date : Lundi 9 novembre, 10h00
Lieu : Montélimar - Agence MONTELIMAR, 26200 Montélimar
Description : Vous êtes bénéficiaire de l'obligation d'emploi et souhaitez maximiser vos chances de décrocher un poste ? Notre atelier est conçu spécialement pour vous aider à aborder votre situation de handicap de manière positive et constructive dans le cadre de votre recherche d'emploi ! Objectifs de l'atelier : Maîtriser les techniques de présentation : Apprendre à communiquer sur votre handicap de manière efficace et valoriser vos compétences uniques. Prendre confiance en soi : Développer l'assurance néc
Mots-clés : Se préparer, Marché du travail"
50133138,"Détection de potentiel ""Services à la personne""","Détection de potentiel ""Services à la personne""","Détection de potentiel ""Services à la personne""",Découverte secteur / métier,"Mardi 13 octobre, 10h00",2026-10-13T08:00:00+00:00,2026-10-13T08:00:00+00:00,Montélimar - Agence MONTELIMAR,Montélimar,26200 Montélimar,44.567867,4.753857,https://openagenda.com/francetravail/events/detection-de-potentiel-services-a-la-personne-8170326,"Titre : Détection de potentiel ""Services à la personne""
Date : Mardi 13 octobre, 10h00
Lieu : Montélimar - Agence MONTELIMAR, 26200 Montélimar
Description : Détection de potentiel ""Services à la personne""
Mots-clés : Découverte secteur / métier"
65894406,"Détection de potentiel ""Santé""","Détection de potentiel ""Métiers de la Santé""","Détection de potentiel ""Métiers de la Santé""",Découverte secteur / métier,"Mardi 15 septembre, 09h45",2026-09-15T07:45:00+00:00,2026-09-15T07:45:00+00:00,Montélimar - Agence MONTELIMAR,Montélimar,26200 Montélimar,44.567867,4.753857,https://openagenda.com/francetravail/events/detection-de-potentiel-sante-9955799,"Titre : Détection de potentiel ""Santé""
Date : Mardi 15 septembre, 09h45
Lieu : Montélimar - Agence MONTELIMAR, 26200 Montélimar
Description : Détection de potentiel ""Métiers de la Santé""
Mots-clés : Découverte secteur / métier"
54415723,Atelier réparation,"Une fois par mois, venez réparer vos petits électroménagers, vêtements et petits meubles avec l’aide de bénévoles passionnés.","Chaque mois, venez réparer vos petits électroménagers, vêtements et petits meubles avec l’aide de bénévoles passionnés. Dans une ambiance conviviale, apprenez à redonner une seconde vie à vos objets et réduisez vos déchets. À chaque date, une animation thématique à découvrir !. Ouvert à tous, débutants comme experts !",,"11 février - 26 août, certains mercredis",2026-02-11T13:00:00+00:00,2026-08-26T12:00:00+00:00,MJC La canopée,Portes-lès-Valence,Porte les valence,44.875012,4.882773,https://openagenda.com/agenda-sytrad/events/atelier-reparation-6735071,"Titre : Atelier réparation
Date : 11 février - 26 août, certains mercredis
Lieu : MJC La canopée, Porte les valence
Description : Chaque mois, venez réparer vos petits électroménagers, vêtements et petits meubles avec l’aide de bénévoles passionnés. Dans une ambiance conviviale, apprenez à redonner une seconde vie à vos objets et réduisez vos déchets. À chaque date, une animation thématique à découvrir !. Ouvert à tous, débutants comme experts !"
24671095,Les fondamentaux de la micro entreprise,"Vous allez participer à une réunion d'information vous présentant le statut de la micro entreprise sur le volet social, fiscal et juridique, animée par l'ADIE.","Vous allez participer à une réunion d'information vous présentant le statut de la micro entreprise sur le volet social, fiscal et juridique, animée par l'ADIE.",Création d'entreprise,"Mardi 28 juillet, 15h00",2026-07-28T13:00:00+00:00,2026-07-28T13:00:00+00:00,Agence VALENCE BRIFFAUT,Valence,26000 Valence,44.925846,4.92068,https://openagenda.com/francetravail/events/les-fondamentaux-de-la-micro-entreprise-4831576,"Titre : Les fondamentaux de la micro entreprise
Date : Mardi 28 juillet, 15h00
Lieu : Agence VALENCE BRIFFAUT, 26000 Valence
Description : Vous allez participer à une réunion d'information vous présentant le statut de la micro entreprise sur le volet social, fiscal et juridique, animée par l'ADIE.
Mots-clés : Création d'entreprise"
93309398,Rencontres autour de la création reprise d'entreprise,Temps d'échanges avec les membres de l'association EGEE. Les membres de cette association sont d'anciens dirigeants d'entreprises.,"Temps d'échanges avec les membres de l'association EGEE. Les membres de cette association sont d'anciens dirigeants d'entreprises. Durant cette rencontre vous abordez votre projet mais également la posture, l'adéquation homme/projet, la vie du chef d'entreprise... France Travail Valence Briffaut 354 A Ave de Chabeuil 26000 Valence","Se préparer, Création d'entreprise","Mardi 21 juillet, 15h00",2026-07-21T13:00:00+00:00,2026-07-21T13:00:00+00:00,Agence VALENCE BRIFFAUT,Valence,26000 Valence,44.925846,4.92068,https://openagenda.com/francetravail/events/rencontres-autour-de-la-creation-reprise-dentreprise-9975278,"Titre : Rencontres autour de la création reprise d'entreprise
Date : Mardi 21 juillet, 15h00
Lieu : Agence VALENCE BRIFFAUT, 26000 Valence
Description : Temps d'échanges avec les membres de l'association EGEE. Les membres de cette association sont d'anciens dirigeants d'entreprises. Durant cette rencontre vous abordez votre projet mais également la posture, l'adéquation homme/projet, la vie du chef d'entreprise... France Travail Valence Briffaut 354 A Ave de Chabeuil 26000 Valence
Mots-clés : Se préparer, Création d'entreprise"
27272928,Atelier PROTECTION SOCIALE et COTISATIONS des créateurs/repreneurs d'entreprise,Vous envisagez de créer votre activité très prochainement ou vous venez de vous immatriculer?,Vous envisagez de créer votre activité très prochainement ou vous venez de vous immatriculer? Vous vous interrogez sur les démarches à accomplir auprès de la sécurité sociale et sur votre couverture sociale une fois la création effective ? Vous souhaitez des informations sur les cotisations URSSAF? Vous allez participer à une réunion d'information en présence de la CPAM et de l'URSSAF. Venez rencontrer la CPAM et l'URSSAF directement dans les locaux de France Travail sur le bassin de Valence -,Création d'entreprise,"Mardi 30 juin, 14h30",2026-06-30T12:30:00+00:00,2026-06-30T12:30:00+00:00,Agence VALENCE VICTOR HUGO,Valence,26000 Valence,44.904243,4.898821,https://openagenda.com/francetravail/events/atelier-protection-sociale-et-cotisations-des-createursrepreneurs-dentreprise-2181034,"Titre : Atelier PROTECTION SOCIALE et COTISATIONS des créateurs/repreneurs d'entreprise
Date : Mardi 30 juin, 14h30
Lieu : Agence VALENCE VICTOR HUGO, 26000 Valence
Description : Vous envisagez de créer votre activité très prochainement ou vous venez de vous immatriculer? Vous vous interrogez sur les démarches à accomplir auprès de la sécurité sociale et sur votre couverture sociale une fois la création effective ? Vous souhaitez des informations sur les cotisations URSSAF? Vous allez participer à une réunion d'information en présence de la CPAM et de l'URSSAF. Venez rencontrer la CPAM et l'URSSAF directement dans les locaux de France Travail sur le bassin de Valence -
Mots-clés : Création d'entreprise"
53177144,Cours de Forró à Crest,Tous les jeudis de 18h à 21h 18h–19h : Cours débutant 19h30–20h30 : Cours intermédiaire Le premier cours jeudi 11 septembre,"Cours de Forró à Crest Tous les jeudis de 18h à 21h 18h–19h : Cours débutant (Pas de prérequis, juste l’envie d’apprendre à danser !) → suivi d’une demi-heure de pratique accompagnée 19h30–20h30 : Cours intermédiaire (Vous avez participé au cours débutant ou vous dansez régulièrement : vous savez guider/suivre différents pas de base, des tours simples, inversés, pião…) → suivi aussi d’une demi-heure de pratique accompagnée Le premier cours aura lieu le jeudi 11 septembre Pas besoin de venir avec un.e partenaire, mais vous pouvez bien sûr inviter vos ami.e.s ! J’enseigne le forró dès le départ en double rôle, pour une danse agréable et inclusive. Comme ça, personne ne reste au bord du parquet ! On part d’une posture confortable et ancrée, et on travaille des techniques pour guider et suivre, avec une écoute active des deux rôles. Je mets un focus sur la connexion avec le/la partenaire, pour faciliter l’improvisation, la musicalité, la légèreté, et l’intensité dans la danse — plutôt que d’enchaîner plein de figures. Mais évidemment, on apprendra aussi des figures super chouettes ???? Tout ça dans la joie et la bienveillance, pour que chacun.e se sente bien et passe une belle soirée ! Infos tarifs Il me tient à cœur que l'art et la danse soient accessibles à tous.tes. Cours d’essai gratuit. Ensuite, je propose une participation libre et consciente. Si vous ne pouvez pas vous engager à l’année, ça reste possible de venir à la séance. Je vous encourage fortement à vous inscrire à l’année, pour qu’on puisse apprendre ensemble, créer un groupe qui se soutient, où on apprend à se connaître, où la confiance s’installe… Pour que chacun.e se sente à l’aise, soit plus en capacité d'apprentissage et en joie, sachant qu'il y aura forró semaine prochaine ! Pour qu'on puisse tisser des liens et faire grandir notre belle communauté de forró ! ✨ Les tarifs sont une indication, l’argent ne doit pas être un frein pour venir danser. Et je vous invite : soyez généreux.ses, pour que je puisse continuer à proposer des espaces de cette manière. Pour bien préparer le démarrage, je vous invite à remplir ce petit questionnaire. Il sert à l’inscription aux cours, pour avoir les infos pour l’adhésion à l’association L’Entremêleuse (qui porte les cours), et vous pouvez aussi exprimer vos envies ou idées pour l’année à venir. https://forms.gle/WcXX4GLouAnXpPMB9 À Crest'Actif, Salle Multiactivité, Quai Berangier de la Blache, 26400 Crest. Intervenant : Andreas : Danseur et musicien, enseigne le Forró et des danses folk à dans la Drôme et en Ardèche (Valence, Crest, Die et Vernoux-en-Vivarais) et sur des festivals de danse depuis 2021. Il s'est formé au Forró au Brésil, Portugal, Espagne, Allemagne et en France depuis 2007. Ses connaissances de plein de différentes styles de danse : Tango, Folk, Lindy Hop, Salsa, Contact Impro etc. lui ont permis de développer une pédagogie de transmission qui réunit l'essentiel de la danse : la joie de la communication à deux porté par la musique et en lien avec les autres. Les cours sont proposé à prix libre. C'est possible de venir à la séance, pour permettre la flexibilité pour ceux et celles qui ne sont pas disponibles régulièrement. Contact pour infos & inscription : https://tiny.cc/andreas","Danse, Forró, Cours, Crest, atelier","11 septembre 2025 - 25 juin 2026, les jeudis",2025-09-11T16:00:00+00:00,2026-06-25T16:00:00+00:00,Crest'Actif,Crest,"12, Quai Berangier de la Blache",44.726375,5.025364,https://openagenda.com/andreas/events/cours-de-forro-a-crest-23508,"Titre : Cours de Forró à Crest
Date : 11 septembre 2025 - 25 juin 2026, les jeudis
Lieu : Crest'Actif, 12, Quai Berangier de la Blache
Description : Cours de Forró à Crest Tous les jeudis de 18h à 21h 18h–19h : Cours débutant (Pas de prérequis, juste l’envie d’apprendre à danser !) → suivi d’une demi-heure de pratique accompagnée 19h30–20h30 : Cours intermédiaire (Vous avez participé au cours débutant ou vous dansez régulièrement : vous savez guider/suivre différents pas de base, des tours simples, inversés, pião…) → suivi aussi d’une demi-heure de pratique accompagnée Le premier cours aura lieu le jeudi 11 septembre Pas besoin de venir avec un.e partenaire, mais vous pouvez bien sûr inviter vos ami.e.s ! J’enseigne le forró dès le départ en double rôle, pour une danse agréable et inclusive. Comme ça, personne ne reste au bord du parquet ! On part d’une posture confortable et ancrée, et on travaille des techniques pour guider et suivre, avec une écoute active des deux rôles. Je mets un focus sur la connexion avec le/la partenaire, pour faciliter l’improvisation, la musicalité, la légèreté, et l’intensité dans la danse — plutôt que d’enchaîner plein de figures. Mais évidemment, on apprendra aussi des figures super chouettes ???? Tout ça dans la joie et la bienveillance, pour que chacun.e se sente bien et passe une belle soirée ! Infos tarifs Il me tient à cœur que l'art et la danse soient accessibles à tous.tes. Cours d’essai gratuit. Ensuite, je propose une participation libre et consciente. Si vous ne pouvez pas vous engager à l’année, ça reste possible de venir à la séance. Je vous encourage fortement à vous inscrire à l’année, pour qu’on puisse apprendre ensemble, créer un groupe qui se soutient, où on apprend à se connaître, où la confiance s’installe… Pour que chacun.e se sente à l’aise, soit plus en capacité d'apprentissage et en joie, sachant qu'il y aura forró semaine prochaine ! Pour qu'on puisse tisser des liens et faire grandir notre belle communauté de forró ! ✨ Les tarifs sont une indication, l’argent ne doit pas être un frein pour venir danser. Et je vous invite : soyez généreux.ses, pour que je puisse continuer à proposer des espaces de cette manière. Pour bien préparer le démarrage, je vous invite à remplir ce petit questionnaire. Il sert à l’inscription aux cours, pour avoir les infos pour l’adhésion à l’association L’Entremêleuse (qui porte les cours), et vous pouvez aussi exprimer vos envies ou idées pour l’année à venir. https://forms.gle/WcXX4GLouAnXpPMB9 À Crest'Actif, Salle Multiactivité, Quai Berangier de la Blache, 26400 Crest. Intervenant : Andreas : Danseur et musicien, enseigne le Forró et des danses folk à dans la Drôme et en Ardèche (Valence, Crest, Die et Vernoux-en-Vivarais) et sur des festivals de danse depuis 2021. Il s'est formé au Forró au Brésil, Portugal, Espagne, Allemagne et en France depuis 2007. Ses connaissances de plein de différentes styles de danse : Tango, Folk, Lindy Hop, Salsa, Contact Impro etc. lui ont permis de développer une pédagogie de transmission qui réunit l'essentiel de la danse : la joie de la communication à deux porté par la musique et en lien avec les autres. Les cours sont proposé à prix libre. C'est possible de venir à la séance, pour permettre la flexibilité pour ceux et celles qui ne sont pas disponibles régulièrement. Contact pour infos & inscription : https://tiny.cc/andreas
Mots-clés : Danse, Forró, Cours, Crest, atelier"
